Database|Reference|Continent|Sample_ID|Sample_Type|Method|Provenance|Age_Method|Age|Discordance|Hf|Lu|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Lu176_Hf177_2sigma|Hf176_Hf177_initial|eHf_now|eHf_initial
UCLA|Belousova et al 2010|Africa|5319|Detrital zircon|LA-MC-ICP-MS|||745.0517830619|1.0469586107|0.7154542087|NaN|0.282647|0.000013|0.00225685|NaN|0.2826153876|NaN|10.9253550893
UCLA|Belousova et al 2010|Asia|2797|Detrital zircon|LA-MC-ICP-MS|||1644.956403268|1.0477055213|1.2527448343|NaN|0.281772|0.0000089|0.00100829|NaN|0.2817405537|NaN|0.1415657805
UCLA|Belousova et al 2010|Australia|10827|Detrital zircon|LA-MC-ICP-MS|||1731.3790869512|1.0477381859|0.1565169021|NaN|0.281559|0.000026|0.00062191|NaN|0.2815385684|NaN|-5.0664697043
UCLA|Belousova et al 2009|Australia|EGC04-49|Detrital zircon|LA-MC-ICP-MS|||1238|1.0500807754|NaN|NaN|0.282068|0.000016|0.000530562|NaN|0.2820555941|-25.3549516417|1.9947195649
UCLA|Belousova et al 2009|Australia|EGC03-46|Detrital zircon|LA-MC-ICP-MS|||1712|1.0514018692|NaN|NaN|0.281632|0.000017|0.000131945|NaN|0.2816277145|-40.7730254434|-2.3422435281
UCLA|Belousova et al 2010|Asia|5544|Detrital zircon|LA-MC-ICP-MS|||317.2223949238|1.0517737075|0.9208411256|NaN|0.282865|0.0000092|0.000992034|NaN|0.2828591072|NaN|10.0617264937
UCLA|Belousova et al 2010|Asia|2339|Detrital zircon|LA-MC-ICP-MS|||317.2223949238|1.0517737075|0.9208411256|NaN|0.282865|0.0000092|0.000992034|NaN|0.2828591072|NaN|10.0617264937
UCLA|Belousova et al 2010|S.America|9273|Detrital zircon|LA-MC-ICP-MS|||268.9907153068|1.0528823743|0.6721448024|NaN|0.282651|0.000014|0.0015206|NaN|0.2826433443|NaN|1.3621813401
UCLA|Belousova et al 2010|Australia|12749|Detrital zircon|LA-MC-ICP-MS|||591.9832948758|1.0529572757|0.8036918829|NaN|0.282202|0.00001|0.000407741|NaN|0.2821974685|NaN|-7.2789213517
UCLA|Belousova et al 2010|Australia|53|Detrital zircon|LA-MC-ICP-MS|||420.8347764229|1.054173111|1.1702271695|NaN|0.282588|0.000013|0.000454031|NaN|0.2825844186|NaN|2.6299231008
UCLA|Belousova et al 2010|Europe|968|Detrital zircon|LA-MC-ICP-MS|||1818.1403619627|1.0553479108|0.4564713402|NaN|0.281747|0.000013|0.000668575|NaN|0.2817239159|NaN|3.4877759764
UCLA|Belousova et al 2010|Asia|5559|Detrital zircon|LA-MC-ICP-MS|||333.8931083172|1.0554370954|0.5535623964|NaN|0.282811|0.000025|0.000904954|NaN|0.2828053411|NaN|8.5272298416
UCLA|Belousova et al 2010|Asia|2354|Detrital zircon|LA-MC-ICP-MS|||333.8931083172|1.0554370954|0.5535623964|NaN|0.282811|0.000025|0.000904954|NaN|0.2828053411|NaN|8.5272298416
UCLA|Belousova et al 2010|Asia|5560|Detrital zircon|LA-MC-ICP-MS|||333.8931083172|1.0554370954|0.5535623964|NaN|0.282906|0.000024|0.00102786|NaN|0.2828995725|NaN|11.8620958103
UCLA|Belousova et al 2010|Asia|790|Detrital zircon|LA-MC-ICP-MS|||157.0401305158|1.0557329282|NaN|NaN|0.282514|0.0000094|0.000960858|NaN|0.2825111787|NaN|-5.7783097253
UCLA|Belousova et al 2010|S.America|10088|Detrital zircon|LA-MC-ICP-MS|||1071.1791061981|1.0558812524|0.8431765729|NaN|0.281865|0.000013|0.000340497|NaN|0.2818581219|NaN|-8.6220932309
UCLA|Belousova et al 2010|Asia|9106|Detrital zircon|LA-MC-ICP-MS|||2448.8813898462|1.0559101713|0.8314994788|NaN|0.281334|0.000012|0.000922771|NaN|0.281290831|NaN|2.5599493907
UCLA|Belousova et al 2010|S.America|9649|Detrital zircon|LA-MC-ICP-MS|||331.1992964367|1.0561583883|0.6238906166|NaN|0.282686|0.000013|0.00162795|NaN|0.2826759024|NaN|3.8868897264
UCLA|Belousova et al 2010|Australia|10708|Detrital zircon|LA-MC-ICP-MS|||625.1829790617|1.0571622183|0.7284384358|NaN|0.28237|0.0000097|0.000475949|NaN|0.2823644121|NaN|-0.6304074595
UCLA|Belousova et al 2010|S.America|10060|Detrital zircon|LA-MC-ICP-MS|||1111.0558051436|1.0590241077|0.3522593332|NaN|0.282168|0.000015|0.000588813|NaN|0.2821556584|NaN|2.8195285464
UCLA|Belousova et al 2010|Australia|11199|Detrital zircon|LA-MC-ICP-MS|||1657.7423765014|1.0594263356|2.0917962174|NaN|0.281898|0.000013|0.000963436|NaN|0.2818677154|NaN|4.9453160363
UCLA|Belousova et al 2010|Africa|6260|Detrital zircon|LA-MC-ICP-MS|||603.61677332|1.0598509096|0.5821708543|NaN|0.282333|0.0000055|0.00019719|NaN|0.2823307652|NaN|-2.3006860495
UCLA|Belousova et al 2010|S.America|8354|Detrital zircon|LA-MC-ICP-MS|||2848.1410990384|1.0606560747|1.5310575169|NaN|0.280997|0.000023|0.00106393|NaN|0.2809388946|NaN|-0.7090595038
UCLA|Belousova et al 2010|Europe|1093|Detrital zircon|LA-MC-ICP-MS|||1659.0149899289|1.0630223657|0.9164786978|NaN|0.281871|0.00001|0.00151866|NaN|0.2818232253|NaN|3.3950208967
