Locality	Unit 	Sample_ID	Age	Reference	d18O	Reference	SiO2	Reference	Lithology	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	DD78-6 	2731	4	5.43	4	62.7	4	TTG: trondhjemite	
Superior Province Plutonic - Wabigoon Subprovince	Mulcahy Lake 	31E 	2733	4	5.57	4	48.93	4	Gabbro	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	DD78-4 	2732	4	5.07	4	63.4	4	TTG: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Dryberry batholith 	DD87-41 	2706	4	5.45	4			TTG: tonalite	
Superior Province Plutonic - Wabigoon Subprovince	Sandybeach Lake stock 	DD87-51 	2695	4	5.58	4			Granitic	
Superior Province Plutonic - Wabigoon Subprovince	Taylor Lake stock 	TK76-30 	2695	4	6.6	4	67.62	4	SKD: quartz monzonite	
Superior Province Plutonic - Wabigoon Subprovince	Aulneau batholith 	DD81-17 	2717	4	5.42	4	70.19	4	TTG: tonalite	
Superior Province Plutonic - Wabigoon Subprovince	Aulneau batholith 	DD81-16 	2710	4	6.28	4	71.54	4	TTG: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Kakagi Lake 	DD78-19 	2723	4	4.88	4			Gabbro pegmatite	
Superior Province Plutonic - Wabigoon Subprovince	Canoe Lake stock 	DD84-16 	2709	4	5.46	4			TTG: quartz diorite/granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	High Lake Stock late 	DD84-19 	2710	4	6.13	4			TTG: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	High Lake Stock 	DD84-18 	2727	4	5.47	4			TTG: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Stevens Island 	DD85-10 	2723	4	5.76	4			TTG: quartz diorite	
Superior Province Plutonic - Wabigoon Subprovince	Heronry 	DD81-29 	2701	4	5.9	4	58.68	4	SKD: diorite/monzonite	
Superior Province Plutonic - Wabigoon Subprovince	Sabaskong batholith 	DD81-30 	2723	4	5.69	4			SKD: tonalite gneiss	
Superior Province Plutonic - Wabigoon Subprovince	Jackfish Lake 	96WB-22 	2680	4	6.42	4	59.79	4	SKD: monzodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Jackfish Lake 	DD96-4 	2680	4	6.46	4	62.76	4	SKD: monzodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Jackfish Lake 	S78-20 	2698	4	6.49	4	60.88	4	SKD: quartz monzonite	
Superior Province Plutonic - Wabigoon Subprovince	Ottertail stock  	DD81-12 	2686	4	6.27	4	68	4	SKD: quartz monzonite	
Superior Province Plutonic - Wabigoon Subprovince	Bad Vermilion Lake 	DD81-14 	2700	4	4.85	4			TTG: trondhjemite sill	
Superior Province Plutonic - Wabigoon Subprovince	Smirch Lake 	DD96-8 	2700	4	6.4	4			SKD: monzodiorite	
Superior Province Plutonic - Wabigoon Subprovince	White Otter Batholith  	WOB-86 	2686	4	5.37	4			TTG: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Marmion batholith 	DD85-17 	3000	4	5	4			Quartz phase	
Superior Province Plutonic - Wabigoon Subprovince	Marmion batholith - 	DD84-10 	3003	4	4.95	4			Banded gneiss core	
Superior Province Plutonic - Wabigoon Subprovince	Pike Lake 	DD78-17 	2739	5	5.08	5	53.3	5	Gabbro	
Superior Province Plutonic - Wabigoon Subprovince	Beidelman  Bay Pluton 	DD78-18 	2733	4	4.92	4	75.73	4	TTG: trondhjemite 	
Superior Province Plutonic - Wabigoon Subprovince	Roaring River 	DD96-11 	2680	4	6.09	4	67.62	4	SKD: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Roaring River 	DD96-10 	2680	4	6.09	4	57.23	4	SKD: monzodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Lac des Iles 	DD86-25a 	2729	4	5.53	4	68.9	4	TTG: tonalite	
Superior Province Plutonic - Wabigoon Subprovince	Lac des Iles 	DD85-2 	2691	4	5.82	4			Gabbro pegmatite	
Superior Province Plutonic - Quetico Subprovince	Blalock Pluton 	 DD96-6 	2688	4	6.83	4	59.23	4	SKD: quartz monzonite	
Superior Province Plutonic - English River Subprovince	Fletcher Lake Batholith 	C88-34 	2698	4	6.57	4			TTG: granodiorite	
Superior Province Plutonic - English River Subprovince	Adamhay Lake Stock 	C87-39 	2697	4	6.9	4			TTG: tonalite	
Superior Province Plutonic - English River Subprovince	Bluffy Lake Batholith 	C88-29 	2698	4	6.47	4			Diorite	
Superior Province Plutonic - Uchi Subprovince 	Graniteboss stock 	C-88-23 	2700	4	6.35	4	66	4	SKD: granodiorite	
Superior Province Plutonic - Uchi Subprovince 	Dome Stock 	C-81-10 	2718	4	5.9	4			TTG: granodiorite	
Superior Province Plutonic - Uchi Subprovince 	McKenzie stock 	C-83-19 	2720	4	6.01	4			TTG: granodiorite	
Superior Province Plutonic - Uchi Subprovince 	Killala stock granodiorite - 	C-83-21 	2704	4	5.84	4			TTG: granodiorite	
Superior Province Plutonic - Uchi Subprovince 	Ochig Lake Pluton 	C-87-17 	2741	4	5.41	4			TTG: trondhjemite	
Superior Province Plutonic - Wawa Subprovince	Icarus 	C-92-31 	2684	4	6.18	4	58.95	4	SKD: monzodiorite	
Superior Province Plutonic - Wawa Subprovince	Perching Gull Lake 	C-92-20 	2681	4	6.3	4	61.5	4	SKD: quartz-monzonite	
Superior Province Plutonic - Wawa Subprovince	Saganaga 	C-92-30 	2690	4	5.78	4	64.9	4	TTG: tonalite	
Superior Province Plutonic - Wawa Subprovince	Gowan Lake Pluton 	C-86-14 	2678	4	6.53	4	64.8	4	SKD: quartz monzonite	
Superior Province Plutonic - Wawa Subprovince	Renabie mine 	RN SHAFT 	2728	4	5.59	4			TTG: tonalite	
Superior Province Plutonic - Wawa Subprovince	Renabie mine 	RNLY3105 	2728	4	5.26	4			TTG: trondhjemite	
