Reference,Sample ,U-Pb (Ma) , δ18O ,±2s
34,W16 ,119,5.8,
5,NF3 ,120,4,
5,NF3 ,120,4.6,
5,RNZ83 ,120,2.3,
5,SF2A ,120,5.2,
9,09DB100 1 ,120,4.4,0.2
31,CM20 ,120,5.6,
31,RH53 ,120,5.6,
63,95LS01 ,120,5.1,
63,95LS02 ,120,5.2,
63,95LS03 ,120,5,
63,95LS04 ,120,5,
63,95LS05 ,120,4.8,
63,95LS06 ,120,5,
63,95LS07 ,120,5.3,
63,95LS08 ,120,5.1,
63,95LS09 ,120,5.5,
64,01BMJ03 ,120,5.3,
64,01BMJ06 ,120,5.3,
64,01BMJ08 ,120,5.4,
64,01BMJ11 ,120,5.5,
64,01BMJ13 ,120,5.4,
64,01BMJ14 ,120,5.4,
64,01FQZ01 ,120,4.7,
64,01GB02 ,120,5.5,
64,01GB03 ,120,5.5,
64,01HP02 ,120,4.7,
64,01HP04 ,120,4.6,
64,01HP05 ,120,4.6,
64,01HP06 ,120,4.5,
64,01JJZ01 ,120,5.8,
64,01JJZ03 ,120,5.3,
64,01MC02 ,120,6,
64,01MC03 ,120,5.9,
64,01MC04 ,120,6,
64,01MDS01 ,120,4.9,
64,01MDS02 ,120,4.6,
64,01MS01 ,120,4.6,
64,01MS02 ,120,5.1,
64,01SCH01 ,120,6.1,
64,01SCH02 ,120,4.6,
64,01SKS01 ,120,4.6,
64,01SKS02 ,120,4.5,
64,01TTZ01 ,120,5.3,
64,01TTZ03 ,120,4.7,
64,01TTZ05 ,120,5.4,
64,01TTZ06 ,120,5.4,
64,01XD01 ,120,5.2,
64,01XD02 ,120,5,
64,01ZBY03 ,120,4.8,
64,01ZBY04 ,120,4.9,
64,01ZBY05 ,120,5.1,
64,01ZBY06 ,120,5.3,
5,RNZ83 ,121,4.8,
5,TT6 ,121,3.3,
10,2606-31a ,121,5.2,0.4
5,RNZ20 ,122,5.8,
5,WF01 ,122,3.7,
5,WF01 ,122,5.8,
10,2606-01 ,122,4.6,0.3
63,97NZS05 ,122,3.5,
63,97NZS07 ,122,4.1,
63,97NZS08 ,122,4.1,
63,97NZS11 ,122,3.1,
63,97NZS19 ,122,3.6,
63,97NZS32 ,122,3.4,
63,97NZS45 ,122,4.2,
63,97NZS53 ,122,4,
18,NIL-anu-zrn-b-052 ,123,4.7,0.9
5,NF3 ,123,3.2,
5,NF3 ,123,4.9,
5,TT6 ,123,3.1,
5,WF01 ,123,4.7,
5,WF01 ,123,5.3,
5,WF01 ,123,5.4,
31,A131 ,123,6.3,
5,NF3 ,124,4.3,
5,NF3 ,124,4.4,
5,NF3 ,124,4.8,
5,WF01 ,124,5,
9,09DB100 14 ,124,4.3,0.2
9,09DB97 8 ,124,5.6,0.2
10,2606-13 ,124,2.7,0.4
5,SF2A ,125,3.6,
5,SF2A ,125,3.9,
5,SF2A ,125,5.1,
5,WF01 ,125,6.1,
9,09DB100 9 ,125,7,0.2
9,09DB97 5 ,125,5.9,0.2
9,09ZJP01 10 ,125,4.9,0.3
9,09ZJP01 15 ,125,4.5,0.2
9,09ZJP01 2 ,125,2.9,0.2
62,DMC-1.S02 ,125,6.6,0.2
5,NF3 ,126,3.5,
5,SF2A ,126,4.9,
5,WF01 ,126,5.9,
9,09DB100 11 ,126,4.3,0.2
9,09DB100 2 ,126,4.2,0.2
9,09DB100 2 ,126,4.5,0.1
9,09DB97 17 ,126,5.8,0.3
9,09DB97 6 ,126,6.3,0.2
9,09ZJP01 3 ,126,4.6,0.1
9,09ZJP01 5 ,126,4.7,0.1
9,09ZJP01 8 ,126,4.8,0.2
34,W6 ,126,8,
62,DMC-1.S15 ,126,6.3,0.3
