Database|Continent|Sample_ID|Pb207_Pb206|Pb207_Pb206_2sigma|Pb207_U235|Pb207_U235_2sigma|Pb206_U238|Pb206_U238_2sigma|Pb208_Th232|Pb208_Th232_2sigma|Age_Pb206_Pb207|Age_Pb206_Pb207_2sigma|Age_Pb207_U235|Age_Pb207_U235_2sigma|Age_Pb206_U238|Age_Pb206_U238_2sigma|Age_Pb208_Th232|Age_Pb208_Th232_2sigma|Discordance|Age|Age_2sigma|Th_U|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Yb176_Hf177|Hf176_Hf177_initial|eHf_initial|eHf_initial_2sigma|Tdm|Tdm_Crustal
TerraneChron|Australia|12784|0.07795|0.00122|2.08478|0.03393|0.194|0.00243|0.05964|0.00179|1145.5991765786|32|1143.8090491045|10.9830727103|1143.0073487214|13.1036721306|1170.8787831761|34.1130444507|0.2262421194|1145.5991765786|64|1.3771215239|0.282171|0.000012|0.000704572|0.0314982|0.2821557681|3.5989218318|0.425274036|1.4857871082|1.6894803675
TerraneChron|Australia|12785|0.07828|0.00102|2.08757|0.02738|0.19346|0.00214|0.05869|0.00124|1153.9884461137|26|1144.7269876244|8.8831661521|1140.0912255464|11.546751777|1152.7497680882|23.6590851773|1.2042772711|1153.9884461137|52|0.9458012567|0.282182|0.000011|0.000556242|0.0242876|0.2821698858|4.2878970714|0.3898193365|1.4648711731|1.6520334205
TerraneChron|Australia|12786|0.0794|0.00093|2.22022|0.02585|0.20286|0.00211|0.06078|0.00114|1182.1244082757|24|1187.4393869156|8.0473186293|1190.6659435488|11.2960810384|1192.6121591997|21.709323744|-0.7225580669|1182.1244082757|48|0.993160701|0.282012|0.000016|0.000594158|0.027965|0.281998741|-1.1481236924|0.5673517439|1.7004410272|2.020451757
TerraneChron|Australia|12787|0.10853|0.00185|4.66105|0.08336|0.31156|0.00408|0.09143|0.00382|1774.8873408369|32|1760.2775929099|14.3611172212|1748.3788455796|20.012702861|1768.3428604908|70.6079313476|1.4935311469|1774.8873408369|64|0.5584145422|0.281632|0.000011|0.000954099|0.0433943|0.2815998542|-1.9016821664|0.3905806158|2.2410201596|2.5270043845
TerraneChron|Australia|12788|0.07537|0.00108|1.83928|0.02629|0.17702|0.00196|0.05498|0.00119|1078.3854496657|29|1059.6034918053|9.2803646064|1050.6741046718|10.7242066238|1081.7950359245|22.7855048143|2.5697068708|1078.3854496657|58|1.3689264875|0.282293|0.000013|0.00127444|0.0643171|0.2822670811|6.0364430219|0.46051443|1.3366913848|1.4820501326
TerraneChron|Australia|12789|0.1|0.00176|3.86277|0.05365|0.28015|0.00302|0.08181|0.00092|1624.0831565116|33|1605.9381980965|10.9123503784|1592.1177022763|15.1848087678|1589.3999851501|17.1811145709|1.9682153655|1624.0831565116|66|0.199077644|0.281806|0.000012|0.000598898|0.0287789|0.2817875623|1.3365759236|0.4258248582|1.9830178591|2.203854452
TerraneChron|Australia|12790|0.07953|0.00105|2.16|0.02888|0.19701|0.00221|0.06116|0.00124|1185.3570496416|27|1168.2713383752|9.1483545254|1159.2379098135|11.8886692945|1199.8514278627|23.60401531|2.2034828945|1185.3570496416|54|0.7138444915|0.281967|0.000013|0.000373013|0.0177227|0.281958653|-2.4969121203|0.4610468601|1.7521480541|2.1089644994
TerraneChron|Australia|12791|0.07294|0.00089|1.5753|0.0194|0.15664|0.00169|0.05117|0.00095|1012.2861951521|25|960.5178780362|7.5757357499|938.0773587097|9.4110911993|1008.6676003675|18.2582284336|2.3362937681|938.0773587097|18.8221823986|0.6953515075|0.282196|0.000011|0.0007609|0.0366611|0.2821825563|-0.1013660315|0.3897999972|1.4533278773|1.7649312014
TerraneChron|Australia|12792|0.0784|0.00099|2.14487|0.027|0.19844|0.00212|0.06112|0.00111|1157.0277759823|26|1163.398034061|8.6018707257|1166.9344790389|11.3914189494|1199.0895216712|21.1315694599|-0.8562199856|1157.0277759823|52|1.4287486907|0.281899|0.000012|0.00084661|0.0393661|0.2818805128|-5.903563712|0.4256843763|1.8677705721|2.3042943647
TerraneChron|Australia|12793|0.07904|0.00116|2.12199|0.03145|0.19473|0.00225|0.05945|0.00131|1173.1367881663|30|1155.9837731768|10.071116311|1146.9474193861|12.1267054974|1167.2542807661|24.9758754358|2.2324224289|1173.1367881663|60|0.960691618|0.282143|0.000012|0.000670109|0.0315263|0.2821281611|3.2387482875|0.4253162403|1.5231429261|1.7337488134
TerraneChron|Australia|12794|0.06816|0.00112|1.06313|0.01721|0.11314|0.00128|0.04115|0.00096|873.42329101|35|735.3650272939|8.3979562457|690.9579406705|7.4079933815|815.075724539|18.6278936022|6.0387814181|690.9579406705|14.815986763|0.4021901111|0.282234|0.00001|0.000746029|0.0347391|0.2822243137|-4.1306697815|0.3543159222|1.4000628839|1.8307349188
TerraneChron|Australia|12795|0.10163|0.0012|4.0714|0.05027|0.29056|0.00322|0.08819|0.002|1654.1003665662|22|1648.5930990581|9.8201228061|1644.3270440153|16.0582272298|1708.2519563464|37.1112454242|0.5908542643|1654.1003665662|44|0.3133428535|0.281863|0.00001|0.000357908|0.0136825|0.2818517746|4.2968154185|0.3547822878|1.8931644379|2.0382979195
TerraneChron|Australia|12796|0.07921|0.00144|2.12894|0.03884|0.19494|0.00246|0.06032|0.00169|1177.3874989151|37|1158.2416500457|12.3654888735|1148.0804184879|13.2548121731|1183.8453634721|32.1882397759|2.4891618481|1177.3874989151|74|1.36044163|0.282053|0.000013|0.000689316|0.0272434|0.2820376798|0.1261058438|0.4609062836|1.648161049|1.9355300982
